Altitude Zone,VDF,MDF,OF,Total,Per cent of Total FC,Per cent of GA of Zone
0-500m,29212.00,156552.00,180238.00,366002.00,52.44,16.17
500-1000m,21724.00,97324.00,77344.00,196392.00,28.14,32.42
1000-2000m,14787.00,37140.00,24556.00,76483.00,10.96,65.48
2000-3000m,14306.00,19288.00,7126.00,40720.00,5.83,70.86
3000-4000m,3432.00,8139.00,5778.00,17349.00,2.49,7.17
Above 4000 m,41.00,302.00,609.00,952.00,0.14,0.39
Total,83502.00,318745.00,295651.00,697898.00,100.00,21.23
